Movie_Title,Movie_URL,Movie_Cover,Release_Date,Genre,Movie_Directors
Bones and All,https://www.imdb.com/title/tt10168670/?ref_=fn_al_tt_28,"https://m.media-amazon.com/images/M/MV5BMjcxOWE1ZTItOWIyZS00YzliLWEzYmEtM2RhNTJlNDA1ODAyXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UY74_CR3,0,50,74_.jpg",2022,,"Timothée Chalamet, Taylor Russell"
Elle est trop bien,https://www.imdb.com/title/tt0160862/?ref_=fn_al_tt_29,"https://m.media-amazon.com/images/M/MV5BY2Y0N2YyOTQtMGNiYy00ZDViLTgxYmItODkxNzlkMWVjNTFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX50_CR0,1,50,74_.jpg",1999,,"Freddie Prinze Jr., Rachael Leigh Cook"
All Is Lost,https://www.imdb.com/title/tt2017038/?ref_=fn_al_tt_30,"https://m.media-amazon.com/images/M/MV5BYzkxOGQxMGYtMTk2OS00ZjY1LTkyNmMtMWE1MWZmY2YwZmQ4XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_QL75_UY74_CR2,0,50,74_.jpg",2013,,Robert Redford
All Eyes Off Me,https://www.imdb.com/title/tt14043818/?ref_=fn_al_tt_31,"https://m.media-amazon.com/images/M/MV5BOGU5NDFmMWQtYmRmYS00YWM4LWExMjEtODU2ZWM3Yjk0MzE5XkEyXkFqcGc@._V1_QL75_UY74_CR3,0,50,74_.jpg",2021,,"Elisheva Weil, Leib Levin"
All We Imagine as Light,https://www.imdb.com/title/tt32086077/?ref_=fn_al_tt_32,"https://m.media-amazon.com/images/M/MV5BMzI5YjBlY2YtNGE1Mi00MTk0LWFjNWItMWYyNzA5NjI1YzczXkEyXkFqcGdeQXVyNzI2NzU1ODc@._V1_QL75_UY74_CR1,0,50,74_.jpg",2024,,"Kani Kusruti, Divya Prabha"
Les Suprêmes,https://www.imdb.com/title/tt13699132/?ref_=fn_al_tt_33,"https://m.media-amazon.com/images/M/MV5BZTBkYjcyZjItY2FhYi00OWNiLWIwNjMtNzJiNWViYjE0MjE1XkEyXkFqcGc@._V1_QL75_UY74_CR5,0,50,74_.jpg",2024,,"Aunjanue Ellis-Taylor, Sanaa Lathan"
All Eyez on Me,https://www.imdb.com/title/tt1666185/?ref_=fn_al_tt_34,"https://m.media-amazon.com/images/M/MV5BMTc5NzQ4NzU4OF5BMl5BanBnXkFtZTgwNTkxMzE0MjI@._V1_QL75_UX50_CR0,1,50,74_.jpg",2017,,"Demetrius Shipp Jr., Danai Gurira"
Un homme pour l'éternité,https://www.imdb.com/title/tt0060665/?ref_=fn_al_tt_35,"https://m.media-amazon.com/images/M/MV5BYTA2OWUwZjMtNGJjMC00MDNiLWI0ZTctZTZiNmNmMjhhNDllXkEyXkFqcGdeQXVyMTM2ODk1OTQ@._V1_QL75_UY74_CR2,0,50,74_.jpg",1966,,"Paul Scofield, Wendy Hiller"
All-Star Weekend,https://www.imdb.com/title/tt2461172/?ref_=fn_al_tt_36,"https://m.media-amazon.com/images/M/MV5BMWVlNWYyZGYtMmEyZi00OWUyLWIzNjgtNjM5YzE5NmI5ZGIwXkEyXkFqcGc@._V1_QL75_UX50_CR0,13,50,74_.jpg",1966,,"Paul Scofield, Wendy Hiller"
All My Friends Are Dead,https://www.imdb.com/title/tt9567458/?ref_=fn_al_tt_37,"https://m.media-amazon.com/images/M/MV5BZWI1ZjNjZDMtYzE3OS00YTlhLTk4OTEtNTA2MGMzOTk0Y2I3XkEyXkFqcGc@._V1_QL75_UX50_CR0,1,50,74_.jpg",2024,,"Jade Pettyjohn, JoJo Siwa"
